track_name,artists,album_name,track_genre,valence,energy,emotion_id
Comedy,Gen Hoshino,Comedy,acoustic,0.715,0.461,6
Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),acoustic,0.267,0.166,4
To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,acoustic,0.12,0.359,4
Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),acoustic,0.143,0.0596,4
Hold On,Chord Overstreet,Hold On,acoustic,0.167,0.443,4
Days I Will Remember,Tyrone Wells,Days I Will Remember,acoustic,0.666,0.481,6
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There?,acoustic,0.0765,0.147,4
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,0.712,0.444,6
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,0.669,0.414,6
Hunger,Ross Copperman,Hunger,acoustic,0.196,0.632,0
Give Me Your Forever,Zack Tabudlo,Episode,acoustic,0.301,0.363,4
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,acoustic,0.139,0.303,4
Solo,Dan Berk,Solo,acoustic,0.607,0.314,6
Bad Liar,Anna Hamilton,Bad Liar,acoustic,0.209,0.234,4
Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),acoustic,0.387,0.78,0
Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,acoustic,0.238,0.561,0
ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),acoustic,0.414,0.112,4
At My Worst,Andrew Foy;Renee Foy,At My Worst,acoustic,0.609,0.0841,6
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,0.669,0.414,6
Photograph,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",acoustic,0.322,0.32,4
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,0.712,0.444,6
Demons,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",acoustic,0.569,0.351,6
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,acoustic,0.0765,0.147,4
93 Million Miles,Jason Mraz,Coffee Moment,acoustic,0.515,0.454,6
Unlonely,Jason Mraz,Human - Best Adult Pop Tunes,acoustic,0.754,0.667,3
Bella Luna,Jason Mraz,Mellow Adult Pop,acoustic,0.33,0.454,4
Winter Wonderland,Jason Mraz,Holly Jolly Christmas,acoustic,0.664,0.309,6
If It Kills Me,Jason Mraz,Feeling Good - Adult Pop Favorites,acoustic,0.52,0.429,6
Winter Wonderland,Jason Mraz,Christmas Time,acoustic,0.664,0.309,6
Winter Wonderland,Jason Mraz,Perfect Christmas Hits,acoustic,0.664,0.309,6
Winter Wonderland,Jason Mraz,Merry Christmas,acoustic,0.664,0.309,6
Winter Wonderland,Jason Mraz,Christmas Music - Holiday Hits,acoustic,0.664,0.309,6
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,Christmas Country Songs 2022,acoustic,0.564,0.455,6
Party of One,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,acoustic,0.202,0.206,4
Party of One,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,acoustic,0.202,0.206,4
Party of One,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,acoustic,0.202,0.206,4
Lonely This Christmas,KT Tunstall,Chill Christmas Dinner,acoustic,0.18,0.153,4
Throwing Good After Bad,Brandi Carlile,rainy day indie,acoustic,0.316,0.0952,4
This Time Tomorrow,Brandi Carlile,Coffee Moment,acoustic,0.414,0.326,4
Lonely This Christmas,KT Tunstall,sadsadchristmas,acoustic,0.18,0.153,4
The Haves,Eddie Vedder,Mega Hits Autumn/Fall 2022,acoustic,0.326,0.519,0
When You're Wrong,Brandi Carlile,Mellow Adult Pop,acoustic,0.142,0.301,4
You and Me on the Rock,Brandi Carlile;Lucius,Country Car Hits,acoustic,0.725,0.686,3
You and Me on the Rock,Brandi Carlile;Lucius,Country Road Songs,acoustic,0.725,0.686,3
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,Finest Country,acoustic,0.498,0.666,0
You and Me on the Rock,Brandi Carlile;Lucius,Easy Country,acoustic,0.725,0.686,3
You and Me on the Rock,Brandi Carlile;Lucius,Cozy Country,acoustic,0.725,0.686,3
You and Me on the Rock,Brandi Carlile;Lucius,Good Times Country,acoustic,0.725,0.686,3
You and Me on the Rock,Brandi Carlile;Lucius,Laidback Country,acoustic,0.725,0.686,3
You and Me on the Rock,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,acoustic,0.725,0.686,3
Trampoline - Acoustic,Highland Peak,Trampoline (Acoustic),acoustic,0.308,0.2,4
透明だった世界,Motohiro Hata,Documentary,acoustic,0.56,0.914,3
Pieces,Andrew Belle,Black Bear,acoustic,0.298,0.652,0
A Drop in the Ocean,Ron Pope,The Bedroom Demos,acoustic,0.564,0.393,6
So Far Away - Acoustic,Adam Christopher,So Far Away (Acoustic),acoustic,0.407,0.331,4
The Enemy,Andrew Belle,Black Bear,acoustic,0.273,0.89,0
Build It Better,Aron Wright,Build It Better,acoustic,0.159,0.333,4
Sleepwalking in the Rain,Chord Overstreet,Sleepwalking in the Rain,acoustic,0.502,0.381,6
Gravity,Sara Bareilles,Little Voice,acoustic,0.231,0.275,4
What's Left of You,Chord Overstreet,What's Left of You,acoustic,0.265,0.507,0
Pano,Zack Tabudlo,Pano,acoustic,0.415,0.457,4
Sky's Still Blue,Andrew Belle,The Daylight EP,acoustic,0.217,0.791,0
And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,acoustic,0.435,0.282,4
We Can't Stop,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",acoustic,0.36,0.347,4
Always Be My Baby,Tim Halperin,Covers,acoustic,0.285,0.255,4
Alone with You,Canyon City,Midnight Waves,acoustic,0.207,0.274,4
Making All Things New,Aaron Espe,Making All Things New,acoustic,0.48,0.355,4
She Used To Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,acoustic,0.172,0.303,4
In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),acoustic,0.196,0.42,4
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,Under Covers,acoustic,0.264,0.403,4
A Drop In the Ocean,Ron Pope,Whatever It Takes,acoustic,0.346,0.573,0
Superman (It's Not Easy),Five For Fighting,America Town,acoustic,0.125,0.416,4
When the End Comes,Andrew Belle,Dive Deep,acoustic,0.428,0.575,0
You're Still The One,Bailey Jehl,You're Still The One,acoustic,0.54,0.473,6
Light Me Up,Ingrid Michaelson,It Doesn't Have To Make Sense,acoustic,0.117,0.595,0
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,acoustic,0.515,0.454,6
Kaleidoscope,A Great Big World,When the Morning Comes,acoustic,0.519,0.913,3
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",acoustic,0.253,0.342,4
What Would I Do Without You,Drew Holcomb & The Neighbors,Good Light,acoustic,0.335,0.336,4
Have It All,Jason Mraz,Know.,acoustic,0.6,0.638,3
Heavy Heart,Gabrielle Aplin,Mellow Adult Pop,acoustic,0.37,0.7,0
The House We Never Built,Gabrielle Aplin,Break Up Songs,acoustic,0.202,0.391,4
Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.298,0.327,4
Please Don't Say You Love Me,Gabrielle Aplin,u don't deserve me,acoustic,0.3,0.541,0
Please Don't Say You Love Me,Gabrielle Aplin,Coffee Moment,acoustic,0.3,0.541,0
Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic,0.351,0.4,4
Brave,Sara Bareilles,The Blessed Unrest,acoustic,0.758,0.836,3
Lonely This Christmas,KT Tunstall,Slow Christmas Songs 2022,acoustic,0.18,0.153,4
Lonely This Christmas,KT Tunstall,Lonely Christmas 2022,acoustic,0.18,0.153,4
Heaven Knows,Five For Fighting,Bookmarks,acoustic,0.392,0.845,0
I Heard The Bells On Christmas Day,The Civil Wars,Slow Christmas Songs 2022,acoustic,0.218,0.145,4
