name,artist,tags,genre,valence,energy,danceability,acousticness,tempo,spotify_preview_url,spotify_id,tags_list,mood_tags,mood_text
Mr. Brightside,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,0.24,0.918,0.355,0.00119,148.114,https://p.scdn.co/mp3-preview/4d26180e6961fd46866cd9106936ea55dfcbaa75?cid=774b29d4f13844c495f206cafdad9c86,09ZQ5TmUG8TSL56n0knqrj,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', '00s']",[],
Wonderwall,Oasis,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",,0.651,0.892,0.409,0.000807,174.426,https://p.scdn.co/mp3-preview/d012e536916c927bd6c8ced0dae75ee3b7715983?cid=774b29d4f13844c495f206cafdad9c86,06UfBBDISthj1ZJAtX4xjj,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', '90s', 'love', 'britpop']",['love'],love
Come as You Are,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",RnB,0.543,0.826,0.508,0.000175,120.012,https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=774b29d4f13844c495f206cafdad9c86,0keNu0t0tqsWtExGM3nT1D,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']",[],
Take Me Out,Franz Ferdinand,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,0.49,0.664,0.279,0.000389,104.56,https://p.scdn.co/mp3-preview/399c401370438be449c2aebff816ba8c62559871?cid=774b29d4f13844c495f206cafdad9c86,0ancVQ9wEcHVd0RrGICTE4,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '00s', 'britpop']",[],
Creep,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,0.104,0.43,0.515,0.0102,91.841,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=774b29d4f13844c495f206cafdad9c86,01QoK9DA7VTeTSE3MNzp4I,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']",[],
Somebody Told Me,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock",,0.704,0.979,0.508,8.71e-05,138.03,https://p.scdn.co/mp3-preview/0d07673cfb46218a49c96eed639933f19b45cf9c?cid=774b29d4f13844c495f206cafdad9c86,0FNmIQ7u45Lhdn6RHhSLix,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock']",[],
Viva la Vida,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, britpop",,0.52,0.806,0.588,0.153,137.973,https://p.scdn.co/mp3-preview/ab747fed1bfab2ac2c8ef7a260822520f6345113?cid=774b29d4f13844c495f206cafdad9c86,08A1lZeyLMWH58DT6aYjnC,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'britpop']",[],
Karma Police,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,0.317,0.505,0.36,0.0626,74.807,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=774b29d4f13844c495f206cafdad9c86,01puceOqImrzSfKDAcd1Ia,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']",[],
The Scientist,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,0.173,0.429,0.566,0.715,146.365,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86,0GSSsT9szp0rJkBrYkzy6s,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'piano', 'love', 'beautiful', '00s', 'britpop', 'mellow']","['love', 'beautiful', 'mellow']",love beautiful mellow
Clocks,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop",,0.255,0.749,0.577,0.599,130.97,https://p.scdn.co/mp3-preview/24c7fe858b234e3cb21872cd03ab44b669163fbb?cid=774b29d4f13844c495f206cafdad9c86,0BCPKOYdS2jbQ8iyB56Zns,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'chillout', 'piano', 'britpop']",['chillout'],chillout
